                 265 0x10000 M (0x00100413) li      s0, 1
                 270 0x10004 M (0x01f41413) slli    s0, s0, 31
                 275 0x10008 M (0xf1402573) csrrs   a0, mhartid, zero
                 280 0x1000c M (0x00000597) auipc   a1, 0x0
                 285 0x10010 M (0x07458593) addi    a1, a1, 116
                 290 0x10014 M (0x00040067) jr      s0
                 300 0x80000000 M (0x00004081) c.li    ra, 0
                 301 0x80000002 M (0x00004101) c.li    sp, 0
                 302 0x80000004 M (0x00004181) c.li    gp, 0
                 303 0x80000006 M (0x00004201) c.li    tp, 0
                 304 0x80000008 M (0x00004281) c.li    t0, 0
                 305 0x8000000a M (0x00004301) c.li    t1, 0
                 306 0x8000000c M (0x00004381) c.li    t2, 0
                 307 0x8000000e M (0x00004401) c.li    s0, 0
                 309 0x80000010 M (0x00004481) c.li    s1, 0
                 310 0x80000012 M (0x00004501) c.li    a0, 0
                 311 0x80000014 M (0x00004581) c.li    a1, 0
                 312 0x80000016 M (0x00004601) c.li    a2, 0
                 313 0x80000018 M (0x00004681) c.li    a3, 0
                 314 0x8000001a M (0x00004701) c.li    a4, 0
                 315 0x8000001c M (0x00004781) c.li    a5, 0
                 316 0x8000001e M (0x00004801) c.li    a6, 0
                 318 0x80000020 M (0x00004881) c.li    a7, 0
                 319 0x80000022 M (0x00004901) c.li    s2, 0
                 320 0x80000024 M (0x00004981) c.li    s3, 0
                 321 0x80000026 M (0x00004a01) c.li    s4, 0
                 322 0x80000028 M (0x00004a81) c.li    s5, 0
                 323 0x8000002a M (0x00004b01) c.li    s6, 0
                 324 0x8000002c M (0x00004b81) c.li    s7, 0
                 325 0x8000002e M (0x00004c01) c.li    s8, 0
                 327 0x80000030 M (0x00004c81) c.li    s9, 0
                 328 0x80000032 M (0x00004d01) c.li    s10, 0
                 329 0x80000034 M (0x00004d81) c.li    s11, 0
                 330 0x80000036 M (0x00004e01) c.li    t3, 0
                 331 0x80000038 M (0x00004e81) c.li    t4, 0
                 332 0x8000003a M (0x00004f01) c.li    t5, 0
                 333 0x8000003c M (0x00004f81) c.li    t6, 0
                 334 0x8000003e M (0x000062f9) c.lui   t0, 0x1e
                 336 0x80000040 M (0x3002a073) csrrs   zero, mstatus, t0
                 343 0x80000044 M (0x00004285) c.li    t0, 1
                 344 0x80000046 M (0x000002fe) c.slli  t0, 31
                 345 0x80000048 M (0x0002c863) blt     t0, zero, pc + 16
                 356 0x80000058 M (0x00000297) auipc   t0, 0x0
                 358 0x8000005c M (0x03828293) addi    t0, t0, 56
                 363 0x80000060 M (0x30529073) csrrw   zero, mtvec, t0
                 365 0x80000064 M (0x00006197) auipc   gp, 0x6
                 366 0x80000068 M (0x79c18193) addi    gp, gp, 1948
                 367 0x8000006c M (0x87f18213) addi    tp, gp, -1921
                 372 0x80000070 M (0xfc027213) andi    tp, tp, -64
                 374 0x80000074 M (0xf1402573) csrrs   a0, mhartid, zero
                 376 0x80000078 M (0x00004585) c.li    a1, 1
                 377 0x8000007a M (0x00b57063) bgeu    a0, a1, pc + 0
                 381 0x8000007e M (0x00150113) addi    sp, a0, 1
                 382 0x80000082 M (0x00000146) c.slli  sp, 17
                 383 0x80000084 M (0x00009112) c.add   sp, tp
                 384 0x80000086 M (0x01151613) slli    a2, a0, 17
                 385 0x8000008a M (0x00009232) c.add   tp, a2
                 386 0x8000008c M (0x5f80306f) j       pc + 0x35f8
                 392 0x80003684 M (0x00007171) c.addi16sp sp, -176
                 394 0x80003686 M (0x0000d706) c.swsp  ra, 172(sp)
                 395 0x80003688 M (0x0000d522) c.swsp  s0, 168(sp)
                 396 0x8000368a M (0x0000d326) c.swsp  s1, 164(sp)
                 396 0x8000368c M (0x00001900) c.addi4spn s0, sp, 176
                 401 0x8000368e M (0xf4a42e23) sw      a0, -164(s0)
                 403 0x80003692 M (0xf4b42c23) sw      a1, -168(s0)
                 403 0x80003696 M (0xff040793) addi    a5, s0, -16
                 405 0x8000369a M (0xf4f42a23) sw      a5, -172(s0)
                 440 0x8000369e M (0xf5442783) lw      a5, -172(s0)
                 441 0x800036a2 M (0xf7078793) addi    a5, a5, -144
                 442 0x800036a6 M (0x03f78793) addi    a5, a5, 63
                 443 0x800036aa M (0x00008399) c.srli  a5, 6
                 444 0x800036ac M (0x00679493) slli    s1, a5, 6
                 445 0x800036b0 M (0x000037bd) c.addiw a5, -17
                 446 0x8000361e M (0x00001101) c.addi  sp, -32
                 448 0x80003620 M (0x0000ce06) c.swsp  ra, 28(sp)
